year,month,DriversKilled,PetrolPrice,law
1969,Jan,107,0.102971811805368,0
1969,Feb,97,0.102362995884646,0
1969,Mar,102,0.102062490635914,0
1969,Apr,87,0.100873300511862,0
1969,May,119,0.101019672891934,0
1969,Jun,106,0.10058119170287,0
1969,Jul,110,0.103773981457839,0
1969,Aug,106,0.104076403554621,0
1969,Sep,107,0.103773981457839,0
1969,Oct,134,0.103026401330572,0
1969,Nov,147,0.102730112155946,0
1969,Dec,180,0.101997191539847,0
1970,Jan,125,0.101274563494893,0
1970,Feb,134,0.10070397563972,0
1970,Mar,110,0.100139606658898,0
1970,Apr,102,0.098621104371302,0
1970,May,103,0.09834928540596,0
1970,Jun,111,0.098080177210539,0
1970,Jul,120,0.097279208218371,0
1970,Aug,129,0.097410623835049,0
1970,Sep,122,0.097425236524548,0
1970,Oct,183,0.096380633003747,0
1970,Nov,169,0.095738955962694,0
1970,Dec,190,0.095106306235948,0
1971,Jan,134,0.096735967147018,0
1971,Feb,108,0.096109222487368,0
1971,Mar,104,0.095367254851379,0
1971,Apr,117,0.094709591587127,0
1971,May,157,0.094117620217461,0
1971,Jun,148,0.093532154819064,0
1971,Jul,130,0.092954049437731,0
1971,Aug,140,0.092839786243193,0
1971,Sep,136,0.092724736253986,0
1971,Oct,140,0.09226965097939,0
1971,Nov,187,0.091706685147968,0
1971,Dec,150,0.091262071943368,0
1972,Jan,159,0.090711603254936,0
1972,Feb,143,0.090276328119195,0
1972,Mar,114,0.089951917627215,0
1972,Apr,127,0.089099638656162,0
1972,May,159,0.08867919250435,0
1972,Jun,156,0.088159288867063,0
1972,Jul,138,0.088902056855291,0
1972,Aug,120,0.088181331444488,0
1972,Sep,117,0.088940292959912,0
1972,Oct,170,0.087726610427597,0
1972,Nov,168,0.087428846437772,0
1972,Dec,198,0.087035430160886,0
1973,Jan,144,0.086449919329466,0
1973,Feb,146,0.085872640912157,0
1973,Mar,109,0.085398221835735,0
1973,Apr,131,0.083821981233605,0
1973,May,151,0.084590780148933,0
1973,Jun,140,0.084136903773944,0
1973,Jul,153,0.083778405134131,0
1973,Aug,140,0.08351074272596,0
